wdpaid|name|the_geom
3|Laguna de los Pozuelos|0101000020E61000000EE8241E678050C0A8105AF8825B36C0
4|Formosa|0101000020E61000001AC1E14D5BE84EC0706EFF2F764538C0
6|Los Glaciares|0101000020E610000059853E0FC75952C02030FC9116FD48C0
7|Lanín|0101000020E6100000FA4327D84ACE51C0081B75725BC943C0
8|Los Alerces|0101000020E6100000898FBC020BF851C058DEBACDE16B45C0
10|Calilegua|0101000020E6100000D00DA719433450C010750150C19B37C0
11|Baritú|0101000020E61000005EA3FF57B42850C0983AB42D629636C0
12|Río Pilcomayo|0101000020E6100000B84AFBD8C1104DC0F0F96663710D39C0
14|Tierra del Fuego|0101000020E61000007A1C11391A1F51C0F4DDCC5A2E524BC0
30|Isiboro Securé|0101000020E610000050E3A34AB17550C0C05BECBE6F2C30C0
31|Noel Kempff Mercado|0101000020E6100000D87C1EF0DD764EC080D96DFE7C932CC0
55|Parque Nacional Da Amazônia|0101000020E6100000601F295863704CC000D7C885353511C0
15|Iguazú|0101000020E6100000A459EFBF68244BC0B0181C1BBDA539C0
16|El Rey|0101000020E610000006995719752750C098605452A7AD38C0
17|Lago Puelo|0101000020E61000004568657545EC51C0D472048F801545C0
18|Chaco|0101000020E6100000F0FD3B07D9D34DC030EFEF9497D33AC0
19|Laguna Blanca|0101000020E6100000D7D1CDA67C9551C0103016C0F38543C0
20|Lihué Calel|0101000020E61000005EE1AA01AF6650C040395FECFDFA42C0
21|El Palmar|0101000020E6100000575B0146B4214DC08848620F8EE03FC0
43|Reserva Biológica Do Rio Trombetas|0101000020E6100000B494D83617634CC0804260CB7C26F1BF
44|Reserva Biológica Do Jaru|0101000020E610000046892FB726DC4EC0B0C7D0D2918A23C0
24|Inagua National Park|0101000020E6100000811C20B2825852C0D09A7DCAA31A3540
46|Reserva Biológica Atol Das Rocas|0101000020E6100000384B1888ADE440C0003FCBE6B6D00EC0
47|Reserva Biológica De Sooretama|0101000020E61000008EEEF3B7CC1144C0B8885F3FF1FC32C0
33|Sajama|0101000020E61000007C46A891E93B51C0F80843DDBA1E32C0
35|Manuripi|0101000020E6100000B9FAD25AC71351C00054A56A11C827C0
36|Eduardo Avaroa|0101000020E6100000441B0A3FA6DC50C068C7CFCA667236C0
42|Reserva Biológica Do Lago Piratuba|0101000020E61000003D1EA633701B49C0808AC0DFCFF3F73F
48|Reserva Biológica De Una|0101000020E6100000BFF92C21678E43C0B09DDAEB6D5C2EC0
49|Reserva Biológica De Poço Das Antas|0101000020E6100000DCE0986AEA2345C0D0B63DE12F8B36C0
53|Parque Nacional Do Jaú|0101000020E6100000F22C952B8E5D4FC0001FFD78AD1502C0
54|Parque Nacional Do Pico Da Neblina|0101000020E61000004245EA86937C50C000581D5E4F75D43F
56|Parque Nacional De Pacaás Novos|0101000020E6100000C35FEA949EAF4FC0A00B6E73FC3326C0
57|Parque Nacional Do Cabo Orange|0101000020E6100000DCAAD479F78F49C0409237A276610D40
58|Parque Nacional Do Araguaia|0101000020E6100000A78353F7660D49C08045EE30400225C0
59|Parque Nacional Da Chapada Dos Veadeiros|0101000020E6100000BF7A254D43CF47C06098197075112CC0
60|Parque Nacional Do Iguaçu|0101000020E6100000C442C2617DE34AC0106BAB319F5F39C0
61|Parque Nacional Dos Lençois Maranhenses|0101000020E6100000DF5E4615D18145C0409346D45D3804C0
62|Parque Nacional Das Emas|0101000020E6100000D4FB998234784AC0D0489C52341B32C0
64|Parque Nacional Da Serra Da Capivara|0101000020E610000052C98AF1694F45C060D75C12C05521C0
65|Parque Nacional Da Serra Da Canastra|0101000020E6100000410A08FEFF4D47C048A494A0975E34C0
66|Parque Nacional De São Joaquim|0101000020E6100000E2929C4DFFC148C0A0B3B864F4303CC0
67|Parque Nacional De Brasília|0101000020E6100000507594DE840048C0E01F7D7218442FC0
68|Parque Nacional Do Monte Pascoal|0101000020E6100000BC7E7C1046A443C0508B0E2F25DD30C0
69|Parque Nacional De Caparao|0101000020E61000008D1A588370E444C0F884D48F3B7534C0
70|Parque Nacional Do Itatiaia|0101000020E6100000F8304FBE845746C0E8083A8F475B36C0
71|Parque Nacional De Aparados Da Serra|0101000020E61000009EAA7B0BB10A49C03051B6A1522E3DC0
72|Parque Nacional Da Serra Dos Orgãos|0101000020E6100000BFC6FF3E958745C0B8997DB6FF7C36C0
